timestamp,price,total_volume,market_cap
2019-09-14 00:00:00,10355.626898620032,16650634275.92447,185791118116.52597
2019-09-15 00:00:00,10349.551958231765,16529697331.07751,185709926005.05557
2019-09-16 00:00:00,10305.675020156998,13781855194.274492,184860740267.84445
2019-09-17 00:00:00,10268.421696882157,17580630287.953926,184216635305.296
2019-09-18 00:00:00,10203.071046816189,17279102873.152096,183148194810.27164
2019-09-19 00:00:00,10158.854517376085,18848349197.54596,182304851001.81525
2019-09-20 00:00:00,10253.232374680329,23532550737.76059,183793185092.94284
2019-09-21 00:00:00,10178.442572698175,17281137871.79277,182621118150.38165
2019-09-22 00:00:00,9997.199887816778,15973816316.06345,179541584400.57428
2019-09-23 00:00:00,10041.304200624943,16268084726.893106,180261864537.87436
2019-09-24 00:00:00,9699.504938095957,17797331461.86323,174073117682.94675
2019-09-25 00:00:00,8702.713528026236,27762368999.148655,158225996381.2368
2019-09-26 00:00:00,8446.244115548528,25000732108.2125,151968918856.4794
2019-09-27 00:00:00,8098.80982048931,22627889543.82238,145450672156.79562
2019-09-28 00:00:00,8183.482347567026,19755414533.472134,147034755881.78366
2019-09-29 00:00:00,8225.11037185192,17936691398.41125,147518938470.12482
2019-09-30 00:00:00,8064.380983385267,16673592219.88411,144886125387.55658
2019-10-01 00:00:00,8271.290855465355,21681424234.680668,148699326425.13895
2019-10-02 00:00:00,8366.503905663569,17832872037.116558,150346803070.61414
2019-10-03 00:00:00,8350.132163242944,17676173879.14879,150093691781.89334
2019-10-04 00:00:00,8176.354679406582,17383555314.276905,146959035399.77228
2019-10-05 00:00:00,8156.519553840962,16931274118.12778,146603545122.07248
2019-10-06 00:00:00,8140.242484268429,16751341177.800287,146326858013.4359
2019-10-07 00:00:00,7890.234349864658,16860212059.076086,141846566055.1005
2019-10-08 00:00:00,8182.251593084191,21702135918.512657,147113201630.43686
2019-10-09 00:00:00,8180.69113018462,19349468269.498783,147101302074.693
2019-10-10 00:00:00,8573.060086448735,21622617282.771305,154173400068.15204
2019-10-11 00:00:00,8561.51932921772,21307956536.769913,153974523119.16272
2019-10-12 00:00:00,8277.848351085042,22522161253.606262,148684409190.17136
2019-10-13 00:00:00,8308.470967433434,18009645880.918533,149460560799.4891
2019-10-14 00:00:00,8289.497236618896,17006193531.89216,149295847366.54712
2019-10-15 00:00:00,8347.350350085451,17384052860.807076,150188449071.35995
2019-10-16 00:00:00,8175.8631121051185,17879549108.634247,147132917995.71127
2019-10-17 00:00:00,8010.3021797941665,18700096464.78663,144153894666.31094
2019-10-18 00:00:00,8079.931459479744,17154383746.943813,145395122717.3465
2019-10-19 00:00:00,7957.314093995798,18867966948.333694,143241128773.44717
2019-10-20 00:00:00,7949.802268609832,16704267725.143393,143016860664.09183
2019-10-21 00:00:00,8208.362621758712,18477598769.79049,147845092519.85434
2019-10-22 00:00:00,8220.91853113097,17608633115.73991,147972317568.96027
2019-10-23 00:00:00,8045.294246807262,19789278104.487,144778678025.77008
2019-10-24 00:00:00,7468.5325324369,23372887462.736748,134533554377.15782
2019-10-25 00:00:00,7433.915345679171,18827850066.723927,133881191476.35277
2019-10-26 00:00:00,8652.030029867461,33573878835.9482,155391555503.11636
2019-10-27 00:00:00,9217.236031536286,49973845766.74797,166118326255.2487
2019-10-28 00:00:00,9502.020114436129,38396780063.80312,171191596562.45987
2019-10-29 00:00:00,9239.897283779665,36102429175.35568,166074573773.0519
2019-10-30 00:00:00,9407.163351459427,32395177164.64729,169552821617.46747
2019-10-31 00:00:00,9171.874474054188,30846909824.024616,165289440818.62827
2019-11-01 00:00:00,9151.824594459767,30452200168.00832,165197797836.50772
